pack,issue,title,artist,deezerId,detail
"2020's Mega Hits","EXPLICIT","Casual","Chappell Roan","2454854775","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Femininomenon","Chappell Roan","2454854735","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Not Like Us","Kendrick Lamar","2783963122","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","squabble up","Kendrick Lamar","3106586631","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Happier Than Ever","Billie Eilish","1449740592","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Kiss Me More (feat. SZA)","Doja Cat","1410738172","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Woman","Doja Cat","1410738042","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Paint The Town Red","Doja Cat","2387373015","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Agora Hills","Doja Cat","2459517745","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Snooze","SZA","2055292087","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Good Days","SZA","1189202982","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Nobody Gets Me","SZA","2055292147","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","I Had Some Help","Post Malone","2780753191","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Chemical","Post Malone","2235565007","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","MONTERO (Call Me By Your Name)","Lil Nas X","1283264142","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","INDUSTRY BABY","Lil Nas X","1439691952","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Peaches","Justin Bieber","1280165222","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","WITHOUT YOU","The Kid LAROI","1445417732","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","TEXAS HOLD 'EM","Beyoncé","2658723742","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","CUFF IT","Beyoncé","1842063487","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","360","Charli xcx","2833834772","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Von dutch","Charli xcx","2833834822","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","34+35","Ariana Grande","1126047052","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","yes, and?","Ariana Grande","2614318122","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","greedy","Tate McRae","2444176345","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","exes","Tate McRae","2537957421","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Tití Me Preguntó","Bad Bunny","1741494317","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","MONACO","Bad Bunny","2496106371","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","About Damn Time","Lizzo","1818665207","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Truth Hurts","Lizzo","407250732","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Juice","Lizzo","666286232","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","A Bar Song (Tipsy)","Shaboozey","2729273551","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","First Person Shooter","Drake","2486117571","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Rich Baby Daddy","Drake","2486117711","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","WAIT FOR U (feat. Drake & Tems)","Future","1741794687","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Way 2 Sexy","Drake","1484144862","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","abcdefu (angrier)","GAYLE","1490027892","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Big Energy","Latto","1491160132","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","Boy's a liar Pt. 2","PinkPantheress","2106386037","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","DESPECHÁ","ROSALÍA","1841999507","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","First Class","Jack Harlow","1711360637","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","I Like You (A Happier Song)","Post Malone","1775918667","Deezer explicit_lyrics = true"
"2020's Mega Hits","EXPLICIT","I'm Good (Blue)","David Guetta","2107937657","Deezer explicit_lyrics = true"
