OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Last Train Home","John Mayer","1390913412"
"(thematic candidate)","","","1950","King Princess","463268972"
"(thematic candidate)","","","North Wind","The Coral","2435113595"
"(thematic candidate)","","","Close To You","Dayglow","1875169837"
"(thematic candidate)","","","Radioactive","Kings Of Leon","7330117"
"(thematic candidate)","","","How Will I Know","Whitney Houston","1131192"
"(thematic candidate)","","","Helmet","Steve Lacy","1817216157"
"(thematic candidate)","","","Amber","311","13176040"
"(thematic candidate)","","","Don't Remind Me","Amber Mark","3586146921"
"(thematic candidate)","","","Lampshades on Fire","Modest Mouse","96817066"
"(thematic candidate)","","","Think Fast","Dominic Fike","2349963865"
"(thematic candidate)","","","Highway Song","Blackfoot","752817"
"(thematic candidate)","","","Grease","Frankie Valli","725722"
"(thematic candidate)","","","Can't Let You Leave","LP","1425684982"
"(thematic candidate)","","","Don't Stop (Color on the Walls)","Foster The People","15546832"
"(thematic candidate)","","","Don't Get Me Wrong (2007 Remaster)","Pretenders","740198"
"(thematic candidate)","","","Bronco","Orville Peck","1708412227"
"(thematic candidate)","","","Cigarette Daydreams","Cage The Elephant","71127724"
"(thematic candidate)","","","Freakin' Out On the Interstate","Briston Maroney","585967822"
"(thematic candidate)","","","Gratitude (Remastered 2009)","Beastie Boys","3148259"
"(thematic candidate)","","","Talk Too Much","COIN","124186202"
"(thematic candidate)","","","Work This Body","WALK THE MOON","90326371"
"(thematic candidate)","","","Helena Beat","Foster The People","15546829"
"(thematic candidate)","","","Doses & Mimosas","Cherub","71415361"
"(thematic candidate)","","","Harley Darling","The Pretty Reckless","1220635992"
"(thematic candidate)","","","truck on fire","Carly Pearce","2826344442"
"(thematic candidate)","","","Speed of the Sound of Loneliness","Kurt Vile","1090110432"
"(thematic candidate)","","","touch tank","Quinnie","1881696997"
"(thematic candidate)","","","Harmony Hall","Vampire Weekend","622127052"
"(thematic candidate)","","","Rikki Don't Lose That Number","Steely Dan","75785436"
"(thematic candidate)","","","Hold On Loosely","38 Special","2525880"
"(thematic candidate)","","","Rocks","Primal Scream","14882019"
"(thematic candidate)","","","King of Oklahoma","Jason Isbell And The 400 Unit","2309589395"
"(thematic candidate)","","","Green Grass & High Tides (Remastered)","The Outlaws","1043323"
"(thematic candidate)","","","Build Me Up Buttercup","The Foundations","3786090882"
"(thematic candidate)","","","Highway Lady","The Record Company","2356442365"
"(thematic candidate)","","","American Wedding","flowerovlove","3911990631"
"(thematic candidate)","","","On The Road Again (Remastered 2005)","Canned Heat","3151772"
"(thematic candidate)","","","End Of The Line","The Traveling Wilburys","125974205"
"(thematic candidate)","","","Electric Love","BØRNS","109705152"
"(thematic candidate)","","","Don't Take The Money","Bleachers","145430754"
"(thematic candidate)","","","Keep Your Hands to Yourself","Georgia Satellites","670865"
"(thematic candidate)","","","Ain't No Rest for the Wicked","Cage The Elephant","561626942"
"(thematic candidate)","","","Back Down South","Kings Of Leon","7330122"
"(thematic candidate)","","","Can't Hardly Wait (2020 Remaster)","The Replacements","1081171672"
"(thematic candidate)","","","Crowbar","Waxahatchee","2582917872"
