Title,Artist
"We Belong Together (From ""Toy Story 3""/Soundtrack)","Randy Newman"
"Evergreen (Love Theme from ""A Star Is Born"")","Barbra Streisand"
"Finale & End Credits","John Williams"
"Kylo Ren Arrives at the Battle","John Williams"
"Main Title","Jerry Goldsmith"
"Man Or Muppet","Jason Segel"
"The Magnificent Seven","Elmer Bernstein"
"Captain Marvel","Pinar Toprak"
"Raindrops Keep Falling on My Head (Re-Recorded)","BJ Thomas"
"Titles (Remastered)","Vangelis"
"Moon River (Digitally Remastered)","Henry Mancini"
"Zoo (De ""Zootopie 2"")","Disney"
"Bring Me To Life","Evanescence"
"Shape of You","Ed Sheeran"
"Dirty Diana (2012 Remaster)","Michael Jackson"
"On The Floor (Radio Edit)","Jennifer Lopez"
"Demons","Imagine Dragons"
"Titanium (feat. Sia)","David Guetta"
"Always Remember Us This Way","Lady Gaga"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson"
"Don't Stop Me Now (Remastered 2011)","Queen"
"Shake It Off","Taylor Swift"
"Hotel California (2013 Remaster)","Eagles"
"Eyes Without A Face","Billy Idol"
"I Feel It Coming","The Weeknd"
"Chandelier","Sia"
"Happy (From ""Despicable Me 2"")","Pharrell Williams"
"Save Your Tears (Remix)","The Weeknd"
"Just the Way You Are","Bruno Mars"
"Havana (feat. Young Thug)","Camila Cabello"
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish"
"Cold Heart (PNAU Remix)","Elton John"
"We Are Young (feat. Janelle Monáe)","Fun."
"Something Just Like This","Coldplay"
"Cruel Summer","Taylor Swift"
"Roar","Katy Perry"
"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth"
"Here Comes The Sun (Remastered 2009)","The Beatles"
"Easy On Me","Adele"
"Lay All Your Love On Me","ABBA"
"Señorita","Shawn Mendes"
"Hold the Line","Toto"
"We Will Rock You (Remastered 2011)","Queen"
"Anti-Hero","Taylor Swift"
"Pompeii","Bastille"
"Attention","Charlie Puth"
"Let It Be (Remastered 2009)","The Beatles"
"Don’t Blame Me","Taylor Swift"
"Blank Space","Taylor Swift"
"Love Me Like You Do (From ""Fifty Shades Of Grey"")","Ellie Goulding"
"Feel This Moment (feat. Christina Aguilera)","Pitbull"
"All The Small Things","blink-182"
"High Hopes","Panic! At The Disco"
"Can't Feel My Face","The Weeknd"
