tier,title,artist,packs,deezer_ids,verdict_keep_or_cut
"SOFT-TAIL","Rien à fêter","Camille Yembe","Road Trip","3918156161",""
"SOFT-TAIL","Casual","Chappell Roan","2020's Mega Hits","2454854775",""
"SOFT-TAIL","Femininomenon","Chappell Roan","2020's Mega Hits","2454854735",""
"SOFT-TAIL","360","Charli xcx","2020's Mega Hits","2833834772",""
"SOFT-TAIL","Von dutch","Charli xcx","2020's Mega Hits","2833834822",""
"SOFT-TAIL","Doses & Mimosas","Cherub","Road Trip","71415361",""
"SOFT-TAIL","Players","Coi Leray","2020's Mega Hits","2032141427",""
"SOFT-TAIL","ROCKSTAR","DaBaby","2020's Mega Hits","932661672",""
"SOFT-TAIL","POPSTAR (feat. Drake)","DJ Khaled","2020's Mega Hits","1024107672",""
"SOFT-TAIL","Kiss Me More (feat. SZA)","Doja Cat","2020's Mega Hits","1410738172",""
"SOFT-TAIL","Agora Hills","Doja Cat","2020's Mega Hits","2459517745",""
"SOFT-TAIL","Boyfriend","Dove Cameron","2020's Mega Hits","1649426332",""
"SOFT-TAIL","Toosie Slide","Drake","2020's Mega Hits","919708552",""
"SOFT-TAIL","Laugh Now Cry Later","Drake","2020's Mega Hits","1050306812",""
"SOFT-TAIL","First Person Shooter","Drake","2020's Mega Hits","2486117571",""
"SOFT-TAIL","Way 2 Sexy","Drake","2020's Mega Hits","1484144862",""
"SOFT-TAIL","Really, Really","Dreamer Isioma","Road Trip","2024029837",""
"SOFT-TAIL","Godzilla","Eminem","2020's Mega Hits","854914322",""
"SOFT-TAIL","I Want","Enny","Road Trip","1355405782",""
"SOFT-TAIL","I'm your first","flowerovlove","Road Trip","3531126261",""
"SOFT-TAIL","Life Is Good (feat. Drake)","Future","2020's Mega Hits","847699482",""
"SOFT-TAIL","WAIT FOR U (feat. Drake & Tems)","Future","2020's Mega Hits","1741794687",""
"SOFT-TAIL","abcdefu (angrier)","GAYLE","2020's Mega Hits","1490027892",""
"SOFT-TAIL","First Class","Jack Harlow","2020's Mega Hits","1711360637",""
"SOFT-TAIL","Victoria's Secret","Jax","2020's Mega Hits","1801761047",""
"SOFT-TAIL","King's Dead","Jay Rock","Songs from Movies","456965102",""
"SOFT-TAIL","Wild Ones","Jessie Murph","2020's Mega Hits","2480796901",""
"SOFT-TAIL","Welcome To The Rock","Joel Hatch","Broadway","143785152",""
"SOFT-TAIL","Everyone's a Little Bit Racist","John Tartaglia","Broadway","628506",""
"SOFT-TAIL","Greased Lightnin' (From “Grease”)","John Travolta","Broadway","781563102",""
"SOFT-TAIL","Wishing Well","Juice WRLD","2020's Mega Hits","1016968532",""
"SOFT-TAIL","Seven (feat. Latto)","JUNG KOOK","2020's Mega Hits","2364618815",""
"SOFT-TAIL","Lonely","Justin Bieber","2020's Mega Hits","1110767312",""
"SOFT-TAIL","Proud Family (feat. Kenneth Cole)","Justus","Classic TV Themes","458743562",""
"SOFT-TAIL","Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini","2020's Mega Hits","2853023522",""
"SOFT-TAIL","All The Stars (From ""Black Panther: The Album"")","Kendrick Lamar","Songs from Movies","456965032",""
"SOFT-TAIL","High Road","Koe Wetzel","2020's Mega Hits","2832264262",""
"SOFT-TAIL","Get Low","Lil Jon & The East Side Boyz","Wedding","2591105",""
"SOFT-TAIL","Blueberry Faygo","Lil Mosey","2020's Mega Hits","867095322",""
"SOFT-TAIL","THATS WHAT I WANT","Lil Nas X","2020's Mega Hits","1493915892",""
"SOFT-TAIL","My Shot","Lin-Manuel Miranda","Broadway + Songs from Movies","107832272",""
"SOFT-TAIL","Truth Hurts","Lizzo","2020's Mega Hits","407250732",""
"SOFT-TAIL","Juice","Lizzo","2020's Mega Hits","666286232",""
"SOFT-TAIL","If We Ever Broke Up","Mae Stephens","2020's Mega Hits","2135303217",""
"SOFT-TAIL","Mamushi (feat. Yuki Chiba)","Megan Thee Stallion","2020's Mega Hits","2867606132",""
"SOFT-TAIL","Sweetest Pie","Megan Thee Stallion","2020's Mega Hits","1679489667",""
"SOFT-TAIL","Play Date","Melanie Martinez","2020's Mega Hits","105286434",""
"SOFT-TAIL","brutal","Olivia Rodrigo","2020's Mega Hits","1378342572",""
"SOFT-TAIL","bad idea right?","Olivia Rodrigo","2020's Mega Hits","2440763145",""
"SOFT-TAIL","Never Gonna Not Dance Again","P!nk","2020's Mega Hits","1992816487",""
"SOFT-TAIL","Boy's a liar Pt. 2","PinkPantheress","2020's Mega Hits","2106386037",""
"SOFT-TAIL","Sky","Playboi Carti","2020's Mega Hits","1189531242",""
"SOFT-TAIL","I Had Some Help","Post Malone","2020's Mega Hits","2780753191",""
"SOFT-TAIL","Chemical","Post Malone","2020's Mega Hits","2235565007",""
"SOFT-TAIL","I Like You (A Happier Song)","Post Malone","2020's Mega Hits","1775918667",""
"SOFT-TAIL","Not My Fault","Reneé Rapp","2020's Mega Hits","2585772662",""
"SOFT-TAIL","Pretty Girls","Reneé Rapp","2020's Mega Hits","2407557495",""
"SOFT-TAIL","High Fashion (feat. Mustard)","Roddy Ricch","2020's Mega Hits","825987082",""
"SOFT-TAIL","Feather","Sabrina Carpenter","2020's Mega Hits","2185094157",""
"SOFT-TAIL","Party Girl","StaySolidRocky","2020's Mega Hits","936617182",""
"SOFT-TAIL","Hit Different (feat. Ty Dolla $ign, The Neptunes & Pharrell Williams)","SZA","2020's Mega Hits","1068098412",""
"SOFT-TAIL","Good Days","SZA","2020's Mega Hits","1189202982",""
"SOFT-TAIL","Nobody Gets Me","SZA","2020's Mega Hits","2055292147",""
"SOFT-TAIL","exes","Tate McRae","2020's Mega Hits","2537957421",""
"SOFT-TAIL","Karma","Taylor Swift","2020's Mega Hits","1977132317",""
"SOFT-TAIL","I Think I Like You","The Band Camino","2020's Mega Hits","1477894832",""
"SOFT-TAIL","MAMACITA","The Black Eyed Peas","2020's Mega Hits","921104532",""
"SOFT-TAIL","WITHOUT YOU","The Kid LAROI","2020's Mega Hits","1445417732",""
"SOFT-TAIL","THE SCOTTS","THE SCOTTS ","2020's Mega Hits","939689012",""
"SOFT-TAIL","In Your Eyes","The Weeknd","2020's Mega Hits","908859862",""
"SOFT-TAIL","On My Mama","Victoria Monét","2020's Mega Hits","2309351085",""
"LIKELY-CLEAN","Ghost Town","Adam Lambert","Road Trip","101819685",""
"LIKELY-CLEAN","Don't Remind Me","Amber Mark","Road Trip","3586146921",""
"LIKELY-CLEAN","Dreams","Beck","Road Trip","414880992",""
"LIKELY-CLEAN","Hurricane","Bob Dylan","70's Mega Hits","15347259",""
"LIKELY-CLEAN","Slide (feat. Frank Ocean & Migos)","Calvin Harris","Road Trip","142844852",""
"LIKELY-CLEAN","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","Road Trip","374051471",""
"LIKELY-CLEAN","Cold War","Cautious Clay","Road Trip","3427807231",""
"LIKELY-CLEAN","The Mother We Share","CHVRCHES","Road Trip","3025690811",""
"LIKELY-CLEAN","Some Nights","fun.","Road Trip","16501727",""
"LIKELY-CLEAN","New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz","Road Trip","1878740837",""
"LIKELY-CLEAN","Good Riddance (Time of Your Life)","Green Day","Wedding","778429",""
"LIKELY-CLEAN","You're Beautiful","James Blunt","Wedding","2659940",""
"LIKELY-CLEAN","1950","King Princess","Road Trip","463268972",""
"LIKELY-CLEAN","Paris","Magic Man","Road Trip","70368139",""
"LIKELY-CLEAN","Sugar","Maroon 5","Road Trip","100052800",""
"LIKELY-CLEAN","Time to Pretend","MGMT","Road Trip","536481",""
"LIKELY-CLEAN","Time of Our Lives","Ne-Yo","Wedding","89597767",""
"LIKELY-CLEAN","American Cars","Noah Kahan","Road Trip","3979667761",""
"LIKELY-CLEAN","Dial Drunk","Noah Kahan","Road Trip","2368216925",""
