Title,Artist
"Coming Back Around","John Powell"
"Toss A Coin To Your Witcher","Sonya Belousova"
"Flying","James Newton Howard"
"Neville's Waltz","Patrick Doyle"
"Main Titles","Vangelis"
"The bioluminescence of the night","James Horner"
"The Dragon Boy","Joe Hisaishi"
"To Aslan's Camp","Harry Gregson-Williams"
"First Class","Henry Jackman"
"I'm Not a Hero","Hans Zimmer"
"House Of Cards Main Title Theme","Jeff Beal"
"Main Theme (From ""The Dark Knight Rises"")","Lindsey Stirling"
"The Power of Prophecy","Ramin Djawadi"
"Flying with Mother","John Powell"
"All Must Choose","Ramin Djawadi"
"Main Title (From ""Chocolat"" Soundtrack)","Rachel Portman"
"The Middle of the World","Nicholas Britell"
"The Caverns of Isengard","Howard Shore"
"The Ride of the Rohirrim","Howard Shore"
"Oppenheimer","Ludwig Göransson"
"Extreme Ways (Bourne's Ultimatum)","Moby"
"Bathroom Dance","Hildur Guðnadóttir"
"Worm Ride","Hans Zimmer"
"Double Trouble","John Williams"
"Blade Runner Blues","Vangelis"
"This Land","Hans Zimmer"
"Stoick's Ship","John Powell"
"Fog Bound","Klaus Badelt"
"Now You See Me 2 Main Titles","Brian Tyler"
"Emma","Steven Price"
"Singapore","Hans Zimmer"
"Edoras","Howard Shore"
"Iron Man 3","Brian Tyler"
"Brothers In Arms","Junkie XL"
"Finale","John Williams"
"The Legend of Ashitaka (from 'Princess Mononoke')","Joe Hisaishi"
"Main Titles (Charlie and the Chocolate Factory)","Danny Elfman"
"Indiana Jones Theme","Hollywood Studio Orchestra"
"Breaking Bad Main Title Theme (Extended)","Dave Porter"
"My Watch Has Ended","Ramin Djawadi"
"Main Title Terminator 2 Theme (Remastered 2017)","Brad Fiedel"
"Mombasa","Hans Zimmer"
"Eleven","Kyle Dixon & Michael Stein"
"The King's Arrival","Ramin Djawadi"
"Episode IV - Cantina Band","John Williams"
"Remember","Hans Zimmer"
"The Imperial March (Darth Vader's Theme)","John Williams"
"Robin Hood: Prince of Thieves","Cinematic Symphony Orchestra"
"Ben","Trevor Rabin"
