Title,Artist
"Catch Me If You Can (From ""Catch Me If You Can"" Soundtrack)","John Williams"
"Legends of the Fall","James Horner"
"Somebody's Baby","Jackson Browne"
"On Her Majesty's Secret Service (Remastered 2003)","John Barry"
"The Batman Theme","Danny Elfman"
"A Groovy Kind of Love (2016 Remaster)","Phil Collins"
"Man Against the World","Survivor"
"I'm Free (Heaven Helps the Man) (From ""Footloose"" Soundtrack)","Kenny Loggins"
"Spider-Man 2 Main Title","Danny Elfman"
"Hymn To The Fallen (From ""Saving Private Ryan"" Soundtrack)","John Williams"
"Lead Me On (From ""Top Gun"" Original Soundtrack)","Teena Marie"
"Kiss the Girl","Samuel E. Wright"
"Al otro lado del río","Jorge Drexler"
"The Glory Days","Michael Giacchino"
"Lost in the Shadows (The Lost Boys)","Lou Gramm"
"We Are Not Alone","Karla Devito"
"Jungle Love","The Time"
"I'm Alright (Theme from ""Caddyshack"")","Kenny Loggins"
"Love Theme from St. Elmo's Fire (Instrumental)","David Foster"
"Great Balls Of Fire","Jerry Lee Lewis"
"Theme From ""Shaft"" (Remastered 1991 Album Version)","Isaac Hayes"
"Prelude and Main Title March","John Williams"
"Fire In The Twilight","Wang Chung"
"Diamonds Are Forever","Shirley Bassey"
"The Edge of Forever","The Dream Academy"
"Only the Young (2024 Remaster)","Journey"
"Dancing Queen","ABBA"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA"
"Where Is My Mind?","Pixies"
"The Winner Takes It All","ABBA"
"Sweet Home Alabama","Lynyrd Skynyrd"
"Tainted Love","Soft Cell"
"Believe","Cher"
"Wake Me Up Before You Go-Go","Wham!"
"Your Song","Elton John"
"Call Me","Blondie"
"Comfortably Numb","Pink Floyd"
"Mamma Mia","ABBA"
"Thank You","Dido"
"Voulez-Vous","ABBA"
"Super Trouper","ABBA"
"All Night Long (All Night)","Lionel Richie"
"The Climb","Miley Cyrus"
"All By Myself","Céline Dion"
"The Final Countdown","Europe"
"Kiss from a Rose","Seal"
"Runaway Train (2022 Remaster)","Soul Asylum"
"Mad World","Michael Andrews"
