pack,tier,artist,title,from_movie_show,explicit,plays_in_game,deezer_id,verdict_keep_or_cut,notes
"2000's Mega Hits","Free","Baby Bash","Suga Suga","","","yes","2501296","",""
"2000's Mega Hits","Free","Backstreet Boys","I Want It That Way","","","yes","13141170","",""
"2000's Mega Hits","Free","Baha Men","Who Let The Dogs Out","","","yes","3389258","",""
"2000's Mega Hits","Free","Band Of Horses","The Funeral","","","yes","75624012","",""
"2000's Mega Hits","Free","Band of Silver","Checked Out","","","yes","2935813851","",""
"2000's Mega Hits","Free","Band of Silver","Simulation","","","yes","2747702831","",""
"2000's Mega Hits","Free","Band of Silver","Training Arc","","","yes","3147209241","",""
"2000's Mega Hits","Free","Barcode Brothers","Dooh Dooh","","","yes","2500802","",""
"2000's Mega Hits","Free","Barthezz","On the Move (Radio Edit)","","","yes","13476008","",""
"2000's Mega Hits","Free","Basshunter","Boten Anna (Radio edit)","","","yes","735670","",""
"2000's Mega Hits","Free","Bat For Lashes","Daniel","","","yes","3148226","",""
"2000's Mega Hits","Free","bbno$","check","","YES","no - explicit","3134757761","",""
"2000's Mega Hits","Free","bbno$","two","","YES","no - explicit","3018200471","",""
"2000's Mega Hits","Free","BeatFreakz","Somebody's Watching Me (Hi_Tack Radio Edit)","","","yes","489401192","",""
"2000's Mega Hits","Free","Benjamin Diamond","Little Scare","","","yes","67655991","",""
"2000's Mega Hits","Free","Benny Benassi","Satisfaction (Isak Original Extended)","","","yes","13839055","",""
"2000's Mega Hits","Free","Beyoncé","Beautiful Liar","","","yes","551207","",""
"2000's Mega Hits","Free","Beyoncé","Broken-Hearted Girl","","","yes","2485111","",""
"2000's Mega Hits","Free","Beyoncé","Crazy In Love (feat. JAY-Z)","","","yes","609244","",""
"2000's Mega Hits","Free","Beyoncé","Diva","","","yes","2485121","",""
"2000's Mega Hits","Free","Beyoncé","Halo","","","yes","2553265","",""
"2000's Mega Hits","Free","Beyoncé","If I Were A Boy","","","yes","2553264","",""
"2000's Mega Hits","Free","Beyoncé","Irreplaceable","","","yes","13131048","",""
"2000's Mega Hits","Free","Beyoncé","Naughty Girl","","","yes","597856","",""
"2000's Mega Hits","Free","Beyoncé","Single Ladies (Put A Ring On It)","","","yes","2553270","",""
"2000's Mega Hits","Free","Billy Crawford","Trackin'","","","yes","2426385555","",""
"2000's Mega Hits","Free","Black Legend","You See the Trouble with Me (We'll Be in Trouble Radio Edit)","","","yes","414585442","",""
"2000's Mega Hits","Free","Blank & Jones","Djs, Fans & Freaks (Radio Cut)","","","yes","471065372","",""
"2000's Mega Hits","Free","blink-182","All The Small Things","","","yes","127354207","",""
"2000's Mega Hits","Free","blink-182","I Miss You","","","yes","910533","",""
"2000's Mega Hits","Free","Bloc Party","Banquet","","","yes","4194878","",""
"2000's Mega Hits","Free","Bloodhound Gang","The Bad Touch","","YES","no - explicit","953105","",""
"2000's Mega Hits","Free","Blu Cantrell","Breathe (feat. Sean Paul) (Rap Version)","","","yes","13146819","",""
"2000's Mega Hits","Free","Blue","All Rise","","","yes","3152219","",""
"2000's Mega Hits","Free","Blue","Breathe Easy","","","yes","3089587","",""
"2000's Mega Hits","Free","Blue","Bubblin'","","","yes","-594125541","",""
"2000's Mega Hits","Free","Blue","Sorry Seems To Be The Hardest Word (Radio Edit)","","","yes","3097538","",""
"2000's Mega Hits","Free","Blue Lagoon","Break My Stride (Radio Edit)","","","yes","2193052","",""
"2000's Mega Hits","Free","Bob Sinclar","Love Generation","","","yes","78734054","",""
"2000's Mega Hits","Free","Bomfunk MC's","(Crack It) Something Going On (feat. Jessica Folker)","","","yes","13200005","",""
"2000's Mega Hits","Free","Bomfunk MC's","Freestyler","","","yes","5363024","",""
"2000's Mega Hits","Free","Bomfunk MC's","Freestyler (Alternative Radio Edit)","","","yes","14887680","",""
"2000's Mega Hits","Free","Bon Jovi","It's My Life","","","yes","89870993","",""
"2000's Mega Hits","Free","Boogie Pimps","Somebody To Love (Salt Shaker Remix)","","","yes","83928689","",""
"2000's Mega Hits","Free","Booty Luv","Boogie 2Nite (Seamus Haji Big Love Edit)","","","yes","144526994","",""
"2000's Mega Hits","Free","Booty Luv","Some Kinda Rush (Radio Edit)","","","yes","144527000","",""
"2000's Mega Hits","Free","Bosson","One In A Million (Remix)","","","yes","6814359","",""
"2000's Mega Hits","Free","Brainstorm","Maybe","","","yes","102448558","",""
"2000's Mega Hits","Free","Brandy","What About Us?","","","yes","714910","",""
"2000's Mega Hits","Free","Breaking Benjamin","The Diary of Jane","","","yes","3112344","",""
"2000's Mega Hits","Free","Britney Spears","...Baby One More Time","","","yes","540175","",""
"2000's Mega Hits","Free","Britney Spears","Boys (feat. Pharrell Williams) (Co-Ed Remix)","","","yes","582280","",""
"2000's Mega Hits","Free","Britney Spears","Gimme More","","YES","no - explicit","15589893","",""
"2000's Mega Hits","Free","Britney Spears","I'm a Slave 4 U","","","yes","540191","",""
"2000's Mega Hits","Free","Britney Spears","If U Seek Amy","","","yes","82199342","",""
"2000's Mega Hits","Free","Britney Spears","Lucky","","","yes","582261","",""
"2000's Mega Hits","Free","Britney Spears","Me Against the Music (feat. Madonna) (LP Version / Video Mix)","","","yes","15392959","",""
"2000's Mega Hits","Free","Britney Spears","Oops!...I Did It Again","","","yes","582254","",""
"2000's Mega Hits","Free","Britney Spears","Toxic","","","yes","15391618","",""
"2000's Mega Hits","Free","Britney Spears","Womanizer","","","yes","82199332","",""
"2000's Mega Hits","Free","Bro' Sis","I Believe (Video / Radio Mix)","","","yes","1152570392","",""
"2000's Mega Hits","Free","Bro'Sis","Do You (Album Version)","","","yes","2185912","",""
"2000's Mega Hits","Free","Bruno Mars","Just the Way You Are","","","yes","8011850","",""
"2000's Mega Hits","Free","Busta Rhymes","I Know What You Want (feat. Flipmode Squad)","","","yes","15220661","",""
"2000's Mega Hits","Free","Busted","What I Go To School For","","","yes","2192087","",""
"2000's Mega Hits","Free","Calvin Harris","I'm Not Alone (Radio Edit)","","","yes","69304060","",""
"2000's Mega Hits","Free","Cascada","Evacuate The Dancefloor (Radio Edit)","","","yes","3976674","",""
"2000's Mega Hits","Free","Cascada","Everytime We Touch (Radio Edit)","","","yes","1139054","",""
"2000's Mega Hits","Free","Cassandra Steen","Stadt","","","yes","2799594","",""
"2000's Mega Hits","Free","Cassie","Me & U","","","yes","2793680","",""
"2000's Mega Hits","Free","Céline Dion","A New Day Has Come (Radio Remix)","","","yes","14552283","",""
"2000's Mega Hits","Free","Céline Dion","I'm Alive","","","yes","14552292","",""
"2000's Mega Hits","Free","Chad Kroeger","Hero (feat. Josey Scott)","","","yes","3866895","",""
"2000's Mega Hits","Free","Cher","All or Nothing","","","yes","786740","",""
"2000's Mega Hits","Free","Cher","Song for the Lonely","","","yes","5615410","",""
"2000's Mega Hits","Free","Cher","The Music's No Good Without You (Almighty Radio Edit)","","","yes","707097","",""
"2000's Mega Hits","Free","Chicane","Don't Give Up","","","yes","6467783","",""
"2000's Mega Hits","Free","Chris Brown","Forever","","","yes","2101627","",""
"2000's Mega Hits","Free","Chris Brown","Run It! (Featuring Juelz Santana)","","","yes","13140203","",""
"2000's Mega Hits","Free","Chris Brown","Wall To Wall","","","yes","15048965","",""
"2000's Mega Hits","Free","Chris Brown","With You","","","yes","2101614","",""
"2000's Mega Hits","Free","Christina Aguilera","Dirrty (feat. Redman)","","","yes","994974","",""
"2000's Mega Hits","Free","Christina Aguilera","Lady Marmalade (From ""Moulin Rouge"" Soundtrack)","","","yes","2438245","",""
"2000's Mega Hits","Free","Chromeo","Fancy Footwork","","","yes","707533842","",""
"2000's Mega Hits","Free","Ciara","1, 2 Step (feat. Missy Elliott)","","","yes","600473","",""
"2000's Mega Hits","Free","Ciara","1, 2 Step (Main)","","","yes","60765447","",""
"2000's Mega Hits","Free","Ciara","Goodies (feat. Petey Pablo)","","","yes","13145340","",""
"2000's Mega Hits","Free","Ciara","Love Sex Magic (feat. Justin Timberlake)","","","yes","2924891","",""
"2000's Mega Hits","Free","Clueso","Gewinner (Single Version / Remastered 2014)","","","yes","128103351","",""
"2000's Mega Hits","Free","Colbie Caillat","Bubbly","","","yes","1087017","",""
"2000's Mega Hits","Free","Coldplay","Clocks","","","yes","3098841","",""
"2000's Mega Hits","Free","Coldplay","Clocks","","","yes","3155881","",""
"2000's Mega Hits","Free","Coldplay","Fix You","","","yes","3106505","",""
"2000's Mega Hits","Free","Coldplay","In My Place","","","yes","3098838","",""
"2000's Mega Hits","Free","Coldplay","Life in Technicolor ii","","","yes","13444592","",""
"2000's Mega Hits","Free","Coldplay","The Scientist","","","yes","3098840","",""
"2000's Mega Hits","Free","Coldplay","Violet Hill","","","yes","3157973","",""
"2000's Mega Hits","Free","Coldplay","Viva La Vida","","","yes","3160070","",""
"2000's Mega Hits","Free","Coldplay","Yellow","","","yes","3128096","",""
"2000's Mega Hits","Free","ConKi","Oh My Love","","","yes","2888412552","",""
"2000's Mega Hits","Free","Corinne Bailey Rae","Put Your Records On","","","yes","3119484","",""
"2000's Mega Hits","Free","Craig David","7 Days","","","yes","694618","",""
"2000's Mega Hits","Free","Craig David","Fill Me In","","","yes","2559110","",""
"2000's Mega Hits","Free","Craig David","Rendezvous","","","yes","143169100","",""
"2000's Mega Hits","Free","Craig David","Rewind","","","yes","2559123","",""
"2000's Mega Hits","Free","Craig David","Rise & Fall (feat. Sting)","","","yes","143170316","",""
"2000's Mega Hits","Free","Craig David","Walking Away","","","yes","2606919","",""
"2000's Mega Hits","Free","Crazy Town","Butterfly","","","yes","13144808","",""
"2000's Mega Hits","Free","Creed","One Last Breath","","","yes","80274648","",""
"2000's Mega Hits","Free","Creed","With Arms Wide Open","","","yes","836186382","",""
"2000's Mega Hits","Free","Cypress Hill","What's Your Number? (feat. Tim Armstrong)","","YES","no - explicit","565965","",""
"2000's Mega Hits","Free","D12","My Band","","YES","no - explicit","1102401","",""
"2000's Mega Hits","Free","D12","Purple Pills","","YES","no - explicit","1126602","",""
"2000's Mega Hits","Free","Daddy Yankee","Gasolina","","","yes","385097421","",""
"2000's Mega Hits","Free","Daft Punk","Harder, Better, Faster, Stronger","","","yes","3135556","",""
"2000's Mega Hits","Free","Daft Punk","One More Time (Short Radio Edit)","","","yes","3157685","",""
"2000's Mega Hits","Free","Daft Punk","Technologic (Radio Edit)","","","yes","3157513","",""
"2000's Mega Hits","Free","Daniel Bedingfield","If You're Not The One","","","yes","2298577","",""
"2000's Mega Hits","Free","Daniel Bedingfield","James Dean (I Wanna Know)","","","yes","2298576","",""
"2000's Mega Hits","Free","Daniel Merriweather","Change (feat. Wale)","","YES","no - explicit","3437910","",""
"2000's Mega Hits","Free","Daniel Merriweather","Red","","","yes","3437913","",""
"2000's Mega Hits","Free","Daniel Powter","Bad Day","","","yes","6685848","",""
"2000's Mega Hits","Free","Dante Thomas","Miss California","","","yes","71703888","",""
"2000's Mega Hits","Free","Darude","Sandstorm","","","yes","11390027","",""
"2000's Mega Hits","Free","Daughtry","Waiting for Superman","","","yes","72314176","",""
"2000's Mega Hits","Free","David Guetta","Love Don't Let Me Go","","","yes","3087828","",""
"2000's Mega Hits","Free","David Guetta","Love Is Gone (Fred Riester & Joachim Garraud Radio Edit Remix)","","","yes","3107326","",""
"2000's Mega Hits","Free","David Guetta","Memories (feat. Kid Cudi)","","","yes","5400243","",""
"2000's Mega Hits","Free","David Guetta","One Love (feat. Estelle)","","","yes","13275699","",""
"2000's Mega Hits","Free","David Guetta","Sexy Bitch (feat. Akon)","","YES","no - explicit","673165762","",""
"2000's Mega Hits","Free","David Guetta","When Love Takes Over (feat. Kelly Rowland)","","","yes","3445820","",""
"2000's Mega Hits","Free","David Jordan","Sun Goes Down","","","yes","884307","",""
"2000's Mega Hits","Free","David O. Joseph","Butterfly","","","yes","490981082","",""
"2000's Mega Hits","Free","Debelah Morgan","Dance with Me","","","yes","3875181","",""
"2000's Mega Hits","Free","Deichkind","Bon Voyage (feat. Nina)","","","yes","685508","",""
"2000's Mega Hits","Free","Delerium","Silence (Tiësto's In Search Of Sunrise Remix)","","","yes","67708599","",""
"2000's Mega Hits","Free","Depeche Mode","Dream On","","","yes","68515207","",""
"2000's Mega Hits","Free","Depeche Mode","Precious","","","yes","3120377","",""
"2000's Mega Hits","Free","Depeche Mode","Wrong","","","yes","136332236","",""
"2000's Mega Hits","Free","Destiny's Child","Bootylicious","","","yes","4006939","",""
