OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"Alone","Heart","3102828","Alone","Heart","3127630"
"A Little Respect (Remastered 2009)","Erasure","68925713","A Little Respect (2009 Remastered Version)","Erasure","143031198"
"Running Up That Hill (A Deal With God)","Kate Bush","11221319","Running Up That Hill (A Deal With God)","Kate Bush","2173954687"
"Don't You (Forget About Me)","Simple Minds","65039246","Don't You (Forget About Me)","Simple Minds","5079647"
"Separate Ways (Worlds Apart)","Journey","534670","Separate Ways (Worlds Apart) (Steve Perry & Bryce Miller Extended Remix)","Journey","1806332527"
"Heaven Is A Place On Earth","Belinda Carlisle","67539452","Heaven Is A Place On Earth","Belinda Carlisle","24968371"
"Our House","Madness","8253529","Our House","Madness","130399608"
"Against All Odds (Take a Look at Me Now) [From ""Against All Odds""]","Phil Collins","75094696","Against All Odds (Take a Look at Me Now) (Live from the Serious Tour 1990; 2019 Remaster)","Phil Collins","624596492"
"The Living Years","Mike + The Mechanics","140521373","The Living Years (Acoustic)","Mike + The Mechanics","2598565452"
"Eye of the Tiger","Survivor","651355112","Eye of the Tiger","Survivor","576431"
"Our Lips Are Sealed (Single Version)","The Go-Go's","-2656405662","Our Lips Are Sealed (Single Version)","The Go-Go's","2113409"
"Road to Nowhere (2005 Remaster)","Talking Heads","-2648428262","Road to Nowhere (2005 Remaster)","Talking Heads","14635963"
"Every Little Thing She Does Is Magic (Remastered 2003)","The Police","2304710","Every Little Thing She Does Is Magic (Remastered 2003)","The Police","4159677"
"Poster Child","Retrofile","393943972","Poster Child","Retrofile","3153918501"
"Vacation","The Go-Go's","17979668","Vacation","The Go-Go's","3361316"
"Heaven Is A Place On Earth (Promo 7"" Edit)","Belinda Carlisle","101663221","Heaven Is A Place On Earth (Promo 7"" Edit)","Belinda Carlisle","1853801417"
"Get Outta My Dreams, Get Into My Car","Billy Ocean","4253536","Get Outta My Dreams, Get Into My Car","Billy Ocean","6071034"
"Can't Stay Away from You","Gloria Estefan","70009189","Can't Stay Away from You","Gloria Estefan","565057"
"Love Shack","The B-52's","78366182","Love Shack","The B-52's","3929350"
"You Spin Me Round (Like a Record)","Dead Or Alive","610914","You Spin Me Round (Like a Record)","Dead Or Alive","1806332357"
"Cult of Personality","Living Colour","2265737","Cult of Personality (Re-Recorded)","Living Colour","16159549"
"Valerie","Steve Winwood","18060921","Valerie (Remix)","Steve Winwood","750644212"
"Smooth Operator (Single Version)","Sade","858207","Smooth Operator (Single Version)","Sade","1030651922"
"Blue Monday","New Order","732326","Blue Monday","New Order","7337280"
"Tempted","Squeeze","2289593","Tempted","Squeeze","524135532"
"Jessie's Girl","Rick Springfield","580060","Jessie's Girl","Rick Springfield","454843722"
"Expectations","Retrofile","118529988","Expectations","Retrofile","3153918421"
"Here I Go Again (1987 Version; 2017 Remaster)","Whitesnake","411553122","Here I Go Again (1987 Version / 2017 Remaster)","Whitesnake","3746038512"
"I Love Rock 'N Roll","Joan Jett and the Blackhearts","545992732","I Love Rock 'N Roll","Joan Jett and the Blackhearts","3081706951"
"Sweet Jane","Cowboy Junkies","13159772","Sweet Jane","Cowboy Junkies","14886841"
"Sowing The Seeds Of Love","Tears For Fears","984565","Sowing The Seeds Of Love","Tears For Fears","424565872"
"Copacabana (At the Copa)","Barry Manilow","134706542","Copacabana (At the Copa) (Long Version)","Barry Manilow","548260"
"On The Wings Of Love","Jeffrey Osborne","2327260","On The Wings Of Love","Jeffrey Osborne","548874652"
"Is This Love (2018 Remaster)","Whitesnake","576902422","Is This Love (2018 Remaster)","Whitesnake","3746036982"
"When Doves Cry","Prince","2794651","When Doves Cry","Prince","2806039672"
"Dancing with Tears in My Eyes","Ultravox","130463716","Dancing with Tears in My Eyes","Ultravox","1787621717"
"Got to Be Certain","Kylie Minogue","137205110","Got to Be Certain","Kylie Minogue","3785971322"
"Gimme All Your Lovin'","ZZ Top","2133998","Gimme All Your Lovin'","ZZ Top","3788398252"
"Never Gonna Give You Up","Rick Astley","600629","Never Gonna Give You Up","Rick Astley","3786363472"
"(I Just) Died In Your Arms","Cutting Crew","84921729","(I Just) Died In Your Arms","Cutting Crew","3152709"
"We Close Our Eyes","Go West","3158241","We Close Our Eyes","Go West","1787570877"
"Harden My Heart","Quarterflash","97690914","Harden My Heart","Quarterflash","25036181"
"Abracadabra","Steve Miller Band","82324030","Abracadabra (Round n' Round) (Radio Edit)","Steve Miller Band","17743170"
"The King of Wishful Thinking","Go West","130201450","The King of Wishful Thinking","Go West","1787666357"
"Only You","Yaz","14659902","Only You","Yaz","14619296"
"Get Down On It","Kool & The Gang","1108303","Get Down On It (Single Version)","Kool & The Gang","541620512"
"Wouldn't It Be Good","Nik Kershaw","908430","Wouldn't It Be Good","Nik Kershaw","1174769"
"Big Love","Fleetwood Mac","4094751","Big Love","Fleetwood Mac","664460"
"Footloose","Kenny Loggins","88329297","Footloose (From ""Footloose"" Soundtrack)","Kenny Loggins","134012978"
"Summer Of '69","Bryan Adams","2499247","Summer Of '69","Bryan Adams","88902741"
"Oh Sherrie","Steve Perry","87935943","Oh Sherrie","Steve Perry","5495387"
"I Can Dream About You","Dan Hartman","893027","I Can Dream About You (Single Version)","Dan Hartman","2461977105"
"Working for the Weekend","Loverboy","1025467","Working for the Weekend","Loverboy","2557034"
"This Woman's Work (2018 Remaster)","Kate Bush","666263362","This Woman's Work (2018 Remaster)","Kate Bush","2175439197"
"The Living Years","Mike + The Mechanics","85376046","The Living Years (Acoustic)","Mike + The Mechanics","2598565452"
"Your Love Is King","Sade","858203","Your Love Is King","Sade","1030651902"
"Like a Prayer","Madonna","4217498","Like a Prayer","Madonna","664507"
"Into the Groove","Madonna","4209638","Into the Groove","Madonna","3824997371"
"Express Yourself","Madonna","4209646","Express Yourself","Madonna","3824997421"
"Good Thing","Fine Young Cannibals","5094594","Good Thing","Fine Young Cannibals","428850822"
"It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","3128067","It's The End Of The World As We Know It (And I Feel Fine) (Remastered 2006)","R.E.M.","3154051"
"Shout","Tears For Fears","7340211","Shout","Tears For Fears","88845907"
"Shattered Dreams","Johnny Hates Jazz","3159361","Shattered Dreams (Acoustic Version)","Johnny Hates Jazz","543118862"
"I Remember You","Skid Row","3821880","I Remember You","Skid Row","692615052"
"You Give Love A Bad Name","Bon Jovi","7332936","You Give Love A Bad Name","Bon Jovi","577487242"
"Maniac","Michael Sembello","2282841","Maniac","Michael Sembello","540168502"
"The Lady In Red","Chris De Burgh","522699602","The Lady In Red","Chris de Burgh","522720742"
"Crazy for You","Madonna","4209665","Crazy for You (Edit)","Madonna","723867"
"Running Up That Hill (A Deal With God) (2018 Remaster)","Kate Bush","666190862","Running Up That Hill (A Deal With God) (2018 Remaster)","Kate Bush","2175438727"
"Video Killed The Radio Star","The Buggles","6691974","Video Killed The Radio Star","The Buggles","2449584"
"Rebel Yell","Billy Idol","13569185","Rebel Yell","Billy Idol","353398301"
"Something About You","Level 42","86734877","Something About You","Level 42","92871828"
"Run To You","Bryan Adams","2499253","Run To You","Bryan Adams","88902735"
"Material Girl","Madonna","4209658","Material Girl","Madonna","723861"
"Sweet Child O' Mine","Guns N' Roses","882257","Sweet Child O' Mine","Guns N' Roses","518458172"
"I Hate Myself for Loving You","Joan Jett and the Blackhearts","555257552","I Hate Myself for Loving You","Joan Jett and the Blackhearts","3790552832"
"White Wedding (Pt. 1 / Remastered 2002)","Billy Idol","3102238","White Wedding (Pt. 1 / Remastered 2002)","Billy Idol","3444267921"
"Kung Fu Fighting","Carl Douglas","131285694","Kung Fu Fighting","Carl Douglas","3782909292"
"Don't Go","Yazoo","3158714","Don't Go (Live)","Yazoo","3803600192"
"You're The One That I Want (From ""Grease"" Original Motion Picture Soundtrack)","John Travolta","1143347","You're The One That I Want (From “Grease”)","John Travolta","781563062"
"Crazy Train","Ozzy Osbourne","12000038","Crazy Train","Ozzy Osbourne","83919189"
"Steppin' Out","Joe Jackson","1095830","Steppin' Out (Single Version)","Joe Jackson","2458106895"
"Wicked Game","Chris Isaak","70548334","Wicked Game","Chris Isaak","1391362322"
"Relax","Frankie Goes To Hollywood","11011566","Relax","Frankie Goes To Hollywood","479307582"
"Sometimes","Erasure","68926233","Sometimes (12'' Mix)","Erasure","3786444732"
"The Loco-Motion","Kylie Minogue","137232280","The Loco-Motion","Kylie Minogue","3785971272"
"Eye In The Sky","The Alan Parsons Project","567680","Eye In The Sky","The Alan Parsons Project","328213571"
"Purple Rain","Prince","2794654","Purple Rain (2015 Paisley Park Remaster)","Prince","374283061"
"Cherish","Madonna","4209683","Cherish","Madonna","723897"
"Could You Be Loved","Bob Marley & The Wailers","2423898","Could You Be Loved","Bob Marley & The Wailers","2542703"
"Leave a Light On","Belinda Carlisle","70029352","Leave A Light On","Belinda Carlisle","1761799917"
"It Must Be Love","Madness","143062020","It Must Be Love","Madness","3541747561"
"Venus","Bananarama","40084601","Venus","Bananarama","420143322"
"You Keep Me Hangin On","Kim Wilde","74640929","You Keep Me Hangin On","Kim Wilde","70646929"
"I Won't Back Down","Tom Petty","2204077","I Won't Back Down","Tom Petty","2303728"
