OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,AlternativeExplicit,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"(thematic candidate)","","","","This Town","Niall Horan","This Town","133135660","675224","233","false","https://www.deezer.com/us/track/133135660","https://cdnt-preview.dzcdn.net/api/1/1/e/6/7/0/e6765c26ce38bd396e634f5a1fe017b4.mp3?hdnea=exp=1781363507~acl=/api/1/1/e/6/7/0/e6765c26ce38bd396e634f5a1fe017b4.mp3*~data=user_id=0,application_id=42~hmac=462ef8a4c94ea660a78d880f7f96518c2d0e6dd2e6615fee2cfe31a31b08ab33","On 1 list: Wedding Songs"
"(thematic candidate)","","","","I'm Kissing You","Des'ree","Supernatural","866832","674003","292","false","https://www.deezer.com/us/track/866832","https://cdnt-preview.dzcdn.net/api/1/1/7/4/7/0/7474234fba27712fd3dd46e6d1db23c8.mp3?hdnea=exp=1781363510~acl=/api/1/1/7/4/7/0/7474234fba27712fd3dd46e6d1db23c8.mp3*~data=user_id=0,application_id=42~hmac=8ad7def08c3e65cbbdee41cc99391ff30f8c933d5ad3bf8dc349afde0841c4ea","On 1 list: Wedding First Dance Songs"
"(thematic candidate)","","","","Fergalicious","Fergie","The Dutchess Deluxe","882287","673043","292","true","https://www.deezer.com/us/track/882287","https://cdnt-preview.dzcdn.net/api/1/1/0/6/4/0/0642deca134b57741a090d7ac91bcc23.mp3?hdnea=exp=1781363511~acl=/api/1/1/0/6/4/0/0642deca134b57741a090d7ac91bcc23.mp3*~data=user_id=0,application_id=42~hmac=79dfbe842f86bb6efc541980c3c37691cb4452e09b071d9ae80e169398e6e520","On 1 list: Wedding Reception BANGERS"
"(thematic candidate)","","","","(You Make Me Feel Like) A Natural Woman","Aretha Franklin","Lady Soul (With Bonus Selections)","904774","672653","165","false","https://www.deezer.com/us/track/904774","https://cdnt-preview.dzcdn.net/api/1/1/4/5/b/0/45b2ee7c192ec1c5a4ee0a74b3b74546.mp3?hdnea=exp=1781363505~acl=/api/1/1/4/5/b/0/45b2ee7c192ec1c5a4ee0a74b3b74546.mp3*~data=user_id=0,application_id=42~hmac=8de1c695509d0cdce09549263ccba9c9ba438a04d2a8e44216fce25d7c574c6e","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","Le Freak (Edit)","Chic","Les Plus Grands Success De Chic - Chic's Greatest Hits","684172","668214","215","false","https://www.deezer.com/us/track/684172","https://cdnt-preview.dzcdn.net/api/1/1/4/9/5/0/495846815d9048eed7648a699cd7ab68.mp3?hdnea=exp=1781363506~acl=/api/1/1/4/9/5/0/495846815d9048eed7648a699cd7ab68.mp3*~data=user_id=0,application_id=42~hmac=2a86ddb9a81cac6ee8132d3d9e5f31e11c68d4bd2e06ccb85b658886bd49089b","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","About Damn Time","Lizzo","Special","1818665207","667128","191","true","https://www.deezer.com/us/track/1818665207","https://cdnt-preview.dzcdn.net/api/1/1/8/1/e/0/81ecb311a6316b318bf1e7e623386145.mp3?hdnea=exp=1781363506~acl=/api/1/1/8/1/e/0/81ecb311a6316b318bf1e7e623386145.mp3*~data=user_id=0,application_id=42~hmac=ad033758d779332ea57b42c825e5e42869ab2b00c1c9f9d7c63fab1739ea691e","On 1 list: Wedding Songs 2026"
"(thematic candidate)","","","","These Arms of Mine","Otis Redding","The Very Best of Otis Redding","722589","663739","154","false","https://www.deezer.com/us/track/722589","https://cdnt-preview.dzcdn.net/api/1/1/e/a/f/0/eaf390874bc557dfc5cdceb20ef36b1d.mp3?hdnea=exp=1781363510~acl=/api/1/1/e/a/f/0/eaf390874bc557dfc5cdceb20ef36b1d.mp3*~data=user_id=0,application_id=42~hmac=dd1474b88d419f4a92854ea228de940d63eb4e77b92035983c5029a00ef9b5d7","On 1 list: Wedding First Dance Songs"
"(thematic candidate)","","","","She's The One","Robbie Williams","I've Been Expecting You","3099009","661139","258","false","https://www.deezer.com/us/track/3099009","https://cdnt-preview.dzcdn.net/api/1/1/d/e/b/0/deb3a26eea73fa1d25dccfe5b6d6676a.mp3?hdnea=exp=1781363509~acl=/api/1/1/d/e/b/0/deb3a26eea73fa1d25dccfe5b6d6676a.mp3*~data=user_id=0,application_id=42~hmac=f41820482eadb4fba9b8b7616a5b640f9bbe24ebcbba1c80c7d49b22c52bac13","On 1 list: Wedding First Dance Songs"
"(thematic candidate)","","","","Falling Like The Stars","James Arthur","Falling Like The Stars","670664512","659527","212","false","https://www.deezer.com/us/track/670664512","https://cdnt-preview.dzcdn.net/api/1/1/a/8/f/0/a8fe24237843021f75603bac0dea3f53.mp3?hdnea=exp=1781363511~acl=/api/1/1/a/8/f/0/a8fe24237843021f75603bac0dea3f53.mp3*~data=user_id=0,application_id=42~hmac=183480bb78e497345bbcf9a156000b5fb0693f2749d46c4c814678c99338cccd","On 1 list: 2023 - Top Wedding Slow First Dance Songs"
"(thematic candidate)","","","","Little Things","One Direction","Take Me Home","61644197","656426","219","false","https://www.deezer.com/us/track/61644197","https://cdnt-preview.dzcdn.net/api/1/1/7/6/d/0/76d644389bdad8c232ef8effc4b3c377.mp3?hdnea=exp=1781363509~acl=/api/1/1/7/6/d/0/76d644389bdad8c232ef8effc4b3c377.mp3*~data=user_id=0,application_id=42~hmac=812d183f21110709c02f32a23b6928b13679fe0797fbe86b476e5c409c559340","On 1 list: Wedding First Dance Songs"
