DeezerId,Title,Artist,Album,Source
"706690082","Neutron Dance","The Pointer Sisters","Stranger Things: Soundtrack from the Netflix Original Series, Season 3",""
"134036244","A Groovy Kind of Love (2016 Remaster)","Phil Collins","The Singles (Expanded)",""
"578105","Man Against the World","Survivor","Rocky IV",""
"534466","Any Way You Want It (2024 Remaster)","Journey","Greatest Hits (2024 Remaster)",""
"3087485","Endless Summer Nights","Richard Marx","Greatest Hits",""
"145187400","Kiss the Girl","Samuel E. Wright","The Little Mermaid Special Edition",""
"3860459","Al otro lado del río","Jorge Drexler","Al otro lado del rio",""
"2514044","We Are Not Alone","Karla Devito","The Breakfast Club",""
"6635013","Jungle Love","The Time","Ice Cream Castle",""
"3177990","Turning Japanese","The Vapors","Turning Japanese - Best Of The Vapors",""
"2298341","Great Balls Of Fire","Jerry Lee Lewis","Great Balls Of Fire",""
"2514040","Fire In The Twilight","Wang Chung","The Breakfast Club",""
"3124362","Diamonds Are Forever","Shirley Bassey","Let Me Sing and I'm Happy",""
"675718","The Edge of Forever","The Dream Academy","The Dream Academy",""
"534461","Only the Young (2024 Remaster)","Journey","Greatest Hits (2024 Remaster)",""
"3404087","Rock This Town (Single Edit/24 Bit Mastering/ Digital Remaster/1999)","Stray Cats","The Brian Setzer Collection 1981-1988 (Remastered)",""
"664107","Take on Me","a-ha","Hunting High and Low",""
"15586296","Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall",""
"925108","Don't Stop The Music","Rihanna","Good Girl Gone Bad: Reloaded",""
"2525864","Every Breath You Take","The Police","The Very Best Of Sting And The Police",""
"68515055","Enjoy the Silence","Depeche Mode","The Singles 86-98",""
"698274","Forever Young","Alphaville","Forever Young",""
"925106","Umbrella","Rihanna","Good Girl Gone Bad: Reloaded",""
"540175","...Baby One More Time","Britney Spears","...Baby One More Time (Digital Deluxe Version)",""
"884025","Dancing Queen","ABBA","ABBA Gold",""
"1171163","I'm Still Standing","Elton John","Too Low For Zero",""
"884041","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","ABBA Gold",""
"936899","Where Is My Mind?","Pixies","Death to the Pixies",""
"1079668","Africa","Toto","Toto IV",""
"884035","The Winner Takes It All","ABBA","ABBA Gold",""
"15593566","Black or White","Michael Jackson","Dangerous",""
"1124111","The Bitch Is Back (Remastered 1995)","Elton John","Caribou (Remastered 1995)",""
"680518","Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium",""
"69962764","Should I Stay or Should I Go (Remastered)","The Clash","Combat Rock (Remastered)",""
"927900","Wind Of Change","Scorpions","Crazy World",""
"625643","Don't Stop Believin'","Journey","The Essential Journey",""
"1030221","Down Under","Men At Work","The Best Of Men At Work: Contraband",""
"84885581","Money for Nothing","Dire Straits","Brothers in Arms",""
"24949681","Sweet Home Alabama","Lynyrd Skynyrd","Second Helping (Expanded Edition)",""
"1075781","No Scrubs","TLC","Fanmail",""
"786717","Believe","Cher","Believe",""
"15194531","Wake Me Up Before You Go-Go","Wham!","Make It Big",""
"678044","Basket Case","Green Day","Dookie",""
"82199332","Womanizer","Britney Spears","Circus (Deluxe Version)",""
"880181","Your Song","Elton John","Elton John",""
"80304804","Walk of Life","Dire Straits","The Best of - Private Investigations",""
"646330632","Apologize","OneRepublic","Apologize",""
