title,artist,album,isrc,isFound
Maneater,"Daryl Hall & John Oates",,,0
"Let's Groove","Earth, Wind & Fire",,,0
"(I've Had) The Time Of My Life (From ""Dirty Dancing"" Soundtrack)","Bill Medley",,,0
"The Power Of Love","Huey Lewis & The News",,,0
"You Spin Me Round (Like A Record) (Original 7"" Mix)","Dead Or Alive",,,0
"Walking On Sunshine","Katrina & The Waves",,,0
"You Make My Dreams (Come True)","Daryl Hall & John Oates",,,0
"Never Knew Love Like This Before","Stephanie Mills",,,0
"I Can't Go for That (No Can Do)","Daryl Hall & John Oates",,,0
"Together In Electric Dreams","Philip Oakey",,,0
"Give It Up","KC & The Sunshine Band",,,0
Celebration,"Kool & The Gang",,,0
"Private Eyes","Daryl Hall & John Oates",,,0
"Stuck With You","Huey Lewis & The News",,,0
"Hip To Be Square","Huey Lewis & The News",,,0
"Push It",Salt-N-Pepa,,,0
"The Heat Is On (From ""Beverly Hills Cop"" Soundtrack)","Glenn Frey",,,0
"Stand and Deliver","Adam & The Ants",,,0
"Out of Touch","Daryl Hall & John Oates",,,0
"Jump (Original Mix)","The Pointer Sisters",,,0
"Labour Of Love","Hue & Cry",,,0
"Could You Be Loved","Bob Marley & The Wailers",,,0
"Buffalo Soldier","Bob Marley & The Wailers",,,0
Solid,"Ashford & Simpson",,,0
"Redemption Song","Bob Marley & The Wailers",,,0
"Up Where We Belong","Jennifer Warnes",,,0
