Title,Artist,DeezerId,Rank,CutReason,CutStage
"(I Just) Died In Your Arms","Cutting Crew","84921729","21436","No preview URL","Hard cut"
"99 Luftballons","Nena","863103","3077","No preview URL","Hard cut"
"A Little Respect (Remastered 2009)","Erasure","68925713","27040","No preview URL","Hard cut"
"A Night to Remember (Single Version)","Shalamar","143028782","22129","No preview URL","Hard cut"
"Abracadabra","Steve Miller Band","82324030","21270","No preview URL","Hard cut"
"Addicted To Love","Robert Palmer","1176177","2771","No preview URL","Hard cut"
"Against All Odds (Take a Look at Me Now) [From ""Against All Odds""]","Phil Collins","75094696","10212","No preview URL","Hard cut"
"Alone","Heart","3102828","28559","No preview URL","Hard cut"
"Always on My Mind (2003 Remaster)","Pet Shop Boys","3147744","312829","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Any Way You Want It","Journey","534811","418615","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Axel F (From ""Beverly Hills Cop"")","Harold Faltermeyer","17933254","3093","No preview URL","Hard cut"
"Bad Dreams","Retrofile","906874252","7840","No preview URL","Hard cut"
"Baggy Trousers","Madness","17014649","26530","No preview URL","Hard cut"
"Big Love","Fleetwood Mac","4094751","18728","No preview URL","Hard cut"
"Blue Monday","New Order","732326","24940","No preview URL","Hard cut"
"Blue Monday '88 (2015 Remaster)","New Order","131744086","243255","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Broke Generation","Retrofile","2301825555","11566","No preview URL","Hard cut"
"Brothers In Arms","Dire Straits","880961","7839","No preview URL","Hard cut"
"Can't Stay Away from You","Gloria Estefan","70009189","25943","No preview URL","Hard cut"
"Cherish","Madonna","4209683","7855","No preview URL","Hard cut"
"Close to Me (2006 Remaster)","The Cure","14639560","166709","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Come On Eileen","Dexys Midnight Runners","4585682","20938","No preview URL","Hard cut"
"Come On Eileen","Dexys Midnight Runners","1115061","18409","No preview URL","Hard cut"
"Copacabana (At the Copa)","Barry Manilow","134706542","22265","No preview URL","Hard cut"
"Could You Be Loved","Bob Marley & The Wailers","2423898","7763","No preview URL","Hard cut"
"Crazy for You","Madonna","4209665","10096","No preview URL","Hard cut"
"Crazy Train","Ozzy Osbourne","12000038","8857","No preview URL","Hard cut"
"Criticize (Remix)","Alexander O'Neal","69954016","7264","No preview URL","Hard cut"
"Cult of Personality","Living Colour","2265737","25270","No preview URL","Hard cut"
"Dancing with Tears in My Eyes","Ultravox","130463716","21997","No preview URL","Hard cut"
"Dig My Grave","Retrofile","1096434512","6901","No preview URL","Hard cut"
"Don't Get Me Wrong (2007 Remaster)","Pretenders","740198","514690","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Don't Go","Yazoo","3158714","8955","No preview URL","Hard cut"
"Don't Leave Me This Way (with Sarah Jane Morris)","The Communards","706144","10002","No preview URL","Hard cut"
"Don't Stop Believin'","Journey","5404539","410264","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Don't Turn Around","Aswad","7288695","2002","No preview URL","Hard cut"
"Don't You (Forget About Me)","Simple Minds","65039246","24963","No preview URL","Hard cut"
"Don't You (Forget About Me)","Simple Minds","3235453","3073","No preview URL","Hard cut"
"Drive (2017 Remaster)","The Cars","474178182","593846","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Englishman In New York","Sting","922102","2008","No preview URL","Hard cut"
"Especially for You","Jason Donovan","137197992","22361","No preview URL","Hard cut"
"Eternal Flame","The Bangles","3037340","138412","No preview URL","Hard cut"
"Every Little Thing She Does Is Magic (Remastered 2003)","The Police","2304710","26938","No preview URL","Hard cut"
"Everywhere (2017 Remaster)","Fleetwood Mac","341017531","595110","Near duplicate (different version, kept higher-rank copy)","Hard cut"
"Expectations","Retrofile","118529988","22976","No preview URL","Hard cut"
"Express Yourself","Madonna","4209646","11502","No preview URL","Hard cut"
"Eye In The Sky","The Alan Parsons Project","567680","7925","No preview URL","Hard cut"
