DeezerId,Title,Artist,Album,Source
"70603366","Main Title (From ""Chocolat"" Soundtrack)","Rachel Portman","Chocolat (Original Motion Picture Soundtrack)","Chocolat"
"2228680","Catch Me If You Can (From ""Catch Me If You Can"" Soundtrack)","John Williams","Catch Me If You Can","Catch Me If You Can"
"1029782","Legends of the Fall","James Horner","Legends Of The Fall Original Motion Picture Soundtrack","Legends Of The Fall"
"3169682","On Her Majesty's Secret Service (Remastered 2003)","John Barry","On Her Majesty's Secret Service (Original Motion Picture Soundtrack / Expanded Edition)","On Her Majesty's Secret Service ("
"722927","The Batman Theme","Danny Elfman","Batman (Original Motion Picture Score)","Batman"
"91018581","I'm Free (Heaven Helps the Man) (From ""Footloose"" Soundtrack)","Kenny Loggins","The Essential Kenny Loggins","Footloose"
"586314","Spider-Man 2 Main Title","Danny Elfman","Spider-Man 2 Original Motion Picture Score","Spider-Man 2"
"1108040","Hymn To The Fallen (From ""Saving Private Ryan"" Soundtrack)","John Williams","Saving Private Ryan","Saving Private Ryan"
"7675054","Lead Me On (From ""Top Gun"" Original Soundtrack)","Teena Marie","Top Gun - Motion Picture Soundtrack (Special Expanded Edition)","Top Gun"
"24185241","The Glory Days","Michael Giacchino","The Incredibles (Original Motion Picture Soundtrack)","The Incredibles"
"14617161","Lost in the Shadows (The Lost Boys)","Lou Gramm","The Lost Boys Original Motion Picture Soundtrack","The Lost Boys"
"91018575","I'm Alright (Theme from ""Caddyshack"")","Kenny Loggins","The Essential Kenny Loggins","Caddyshack"
"6410080","Love Theme from St. Elmo's Fire (Instrumental)","David Foster","St. Elmo's Fire - Music From The Original Motion Picture Soundtrack","St. Elmo's Fire - Music From The"
"2191765","Theme From ""Shaft"" (Remastered 1991 Album Version)","Isaac Hayes","Greatest Hits Singles (Remastered 1991)","Shaft"
"3579822","Prelude and Main Title March","John Williams","Superman: The Movie (Original Motion Picture Soundtrack)","Superman: The Movie"
"7303288","Tainted Love","Soft Cell","Coneheads (Music From The Motion Picture Soundtrack)","Coneheads"
"83151634","Mad World","Michael Andrews","Donnie Darko (Original Motion Picture Soundtrack)","Donnie Darko"
"14552288","Because You Loved Me (Theme from ""Up Close and Personal"")","Céline Dion","My Love Essential Collection","Up Close and Personal"
"1579003","The Winner Takes It All (From ""Mamma Mia!"")","Meryl Streep","Mamma Mia! The Movie Soundtrack","Mamma Mia!"
"2446608","Chase","Giorgio Moroder","Midnight Express (Original Motion Picture Soundtrack)","Midnight Express"
"783579","Evenstar","Howard Shore","The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)","The Lord of the Rings: The Two Towers"
