DeezerId,Title,Artist,Album,Source
"624844592","Titles","Vangelis","",""
"3813527482","Moon River","Henry Mancini","",""
"3589406821","Zoo (From ""Zootopia 2"")","Disney","",""
"80274512","Bring Me To Life","Evanescence","",""
"139470659","Shape of You","Ed Sheeran","",""
"59509611","Dirty Diana (2012 Remaster)","Michael Jackson","",""
"8930372","On The Floor (Radio Edit)","Jennifer Lopez","",""
"58071451","Demons","Imagine Dragons","",""
"62847142","Titanium (feat. Sia)","David Guetta","",""
"92734438","Uptown Funk (feat. Bruno Mars)","Mark Ronson","",""
"1045832272","Don't Stop Me Now","Queen","",""
"602092492","Shake It Off","Taylor Swift","",""
"426703682","Hotel California (2013 Remaster)","Eagles","",""
"353398321","Eyes Without A Face","Billy Idol","",""
"136889434","I Feel It Coming","The Weeknd","",""
"99625792","Chandelier","Sia","",""
"701326562","Happy (From ""Despicable Me 2"")","Pharrell Williams","",""
"1352360622","Save Your Tears (Remix)","The Weeknd","",""
"7216935","Just the Way You Are","Bruno Mars","",""
"447098092","Havana (feat. Young Thug)","Camila Cabello","",""
"2373296565","What Was I Made For? (From The Motion Picture ""Barbie"")","Billie Eilish","",""
"1457025872","Cold Heart (PNAU Remix)","Elton John","",""
"16501728","We Are Young (feat. Janelle Monáe)","Fun.","",""
"142706538","Something Just Like This","Coldplay","",""
"737967292","Cruel Summer","Taylor Swift","",""
"71645431","Roar","Katy Perry","",""
"135971346","We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","",""
"116348464","Here Comes The Sun (Remastered 2009)","The Beatles","",""
"1522223672","Easy On Me","Adele","",""
"76376863","Lay All Your Love On Me","ABBA","",""
"698905582","Señorita","Shawn Mendes","",""
"1078779","Hold the Line","Toto","",""
"716513432","We Will Rock You (Remastered 2011)","Queen","",""
"1976903157","Anti-Hero","Taylor Swift","",""
"63034985","Pompeii","Bastille","",""
"349385251","Attention","Charlie Puth","",""
"116348656","Let It Be (Remastered 2009)","The Beatles","",""
"435491472","Don’t Blame Me","Taylor Swift","",""
"602092412","Blank Space","Taylor Swift","",""
"62083052","Feel This Moment (feat. Christina Aguilera)","Pitbull","",""
"127354207","All The Small Things","blink-182","",""
"516351532","High Hopes","Panic! At The Disco","",""
"106506516","Can't Feel My Face","The Weeknd","",""
"112662184","Mr. Blue Sky","Electric Light Orchestra","",""
"568116212","The Show Must Go On (2011 Remaster)","Queen","",""
"1557137132","Oh My God","Adele","",""
"14333215","Piano Man","Billy Joel","",""
"133577580","Don't Dream It's Over","Crowded House","",""
"78213551","Love Never Felt So Good","Michael Jackson","",""
"100598482","Want to Want Me","Jason Derülo","",""
"105765234","The Sound of Silence","Disturbed","",""
"14241633","Stronger (What Doesn't Kill You)","Kelly Clarkson","",""
"115671688","Cheap Thrills","Sia","",""
"716513442","We Are The Champions (Remastered 2011)","Queen","",""
"80274516","My Immortal","Evanescence","",""
"14636764","Never Tear Us Apart","INXS","",""
"13693508","Something In The Way","Nirvana","",""
"14343282","One","U2","",""
"88845911","Everybody Wants To Rule The World","Tears For Fears","",""
"8146779","Faith (Remastered)","George Michael","",""
"428612492","Need You Tonight (2017 Remaster)","INXS","",""
"15590338","Pocketful of Sunshine","Natasha Bedingfield","",""
"92872156","Centuries","Fall Out Boy","",""
"98975170","Tennessee Whiskey","Chris Stapleton","",""
"66404487","Come & Get It","Selena Gomez","",""
"97786984","My House","Flo Rida","",""
"595112082","Wildest Dreams","Taylor Swift","",""
"15392707","Since U Been Gone","Kelly Clarkson","",""
"75711295","Best Day Of My Life","American Authors","",""
"134533222","Unstoppable","Sia","",""
"81768004","Fireball (feat. John Ryan)","Pitbull","",""
"16501727","Some Nights","Fun.","",""
"14495564","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","",""
"573659482","Tuyo (Narcos Theme) (A Netflix Original Series Soundtrack)","Rodrigo Amarante","",""
"94424876","Marvin Gaye (feat. Meghan Trainor)","Charlie Puth","",""
"80274650","My Sacrifice","Creed","",""
"505510312","You Could Be Mine","Guns N' Roses","",""
"145434430","Sweet Caroline","Neil Diamond","",""
"6599483","You Can Call Me Al","Paul Simon","",""
"716513532","Who Wants To Live Forever (Remastered 2011)","Queen","",""
"716513482","I Want It All (Remastered 2011)","Queen","",""
"871672032","We Are Never Ever Getting Back Together","Taylor Swift","",""
"424359162","Visions of Gideon","Sufjan Stevens","",""
"3127630","Alone","Heart","",""
"82241402","Smooth (feat. Rob Thomas)","Santana","",""
"66404564","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy","",""
"528330441","Believer","Imagine Dragons","",""
"1761616357","Love Of My Life (Remastered 2011)","Queen","",""
"568115912","Crazy Little Thing Called Love (2011 Remaster)","Queen","",""
"13100388","Think","The Blues Brothers","",""
"109843292","Hand in My Pocket (2015 Remaster)","Alanis Morissette","",""
"350027741","You Should Be Dancing","Bee Gees","",""
"80274464","Higher","Creed","",""
"100052800","Sugar","Maroon 5","",""
"137727915","Mia & Sebastian’s Theme","Justin Hurwitz","",""
"623698182","Despacito (Remix)","Luis Fonsi","",""
"3434062861","F1","Hans Zimmer","",""
"80273734","Call Me When You're Sober","Evanescence","",""
"447552822","Pour Some Sugar On Me","Def Leppard","",""
"82692320","(Don't Fear) The Reaper","Blue Öyster Cult","",""
"403699672","Somebody's Watching Me (Single Version)","Rockwell","",""
"109843288","You Oughta Know (2015 Remaster)","Alanis Morissette","",""
"1762553057","I Want To Break Free (Remastered 2011)","Queen","",""
"68094695","Take It Easy (2013 Remaster)","Eagles","",""
"538707842","Sledgehammer (2012 Remaster)","Peter Gabriel","",""
"82159934","The Joker","Steve Miller Band","",""
