OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Will And Elizabeth","Klaus Badelt","3117920"
"(thematic candidate)","","","The Last of Us Part II","Gustavo Santaolalla","988981112"
"(thematic candidate)","","","The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]","Howard Shore","14628824"
"(thematic candidate)","","","Catch Me If You Can (From ""Catch Me If You Can"" Soundtrack)","John Williams","2228680"
"(thematic candidate)","","","Barbossa Is Hungry","Klaus Badelt","3117923"
"(thematic candidate)","","","The Promise","Michael Nyman","3358368"
"(thematic candidate)","","","Coming Back Around","John Powell","119437660"
"(thematic candidate)","","","Toss A Coin To Your Witcher","Sonya Belousova","857747182"
"(thematic candidate)","","","Flying","James Newton Howard","2055891047"
"(thematic candidate)","","","Neville's Waltz","Patrick Doyle","789581"
"(thematic candidate)","","","Main Titles","Vangelis","691062"
"(thematic candidate)","","","The bioluminescence of the night","James Horner","4828155"
"(thematic candidate)","","","The Dragon Boy","Joe Hisaishi","1120336012"
"(thematic candidate)","","","To Aslan's Camp","Harry Gregson-Williams","11233268"
"(thematic candidate)","","","First Class","Henry Jackman","12241602"
"(thematic candidate)","","","I'm Not a Hero","Hans Zimmer","904629"
"(thematic candidate)","","","House Of Cards Main Title Theme","Jeff Beal","117728240"
"(thematic candidate)","","","Main Theme (From ""The Dark Knight Rises"")","Lindsey Stirling","139872165"
"(thematic candidate)","","","The Power of Prophecy","Ramin Djawadi","1965783167"
"(thematic candidate)","","","Flying with Mother","John Powell","78917805"
"(thematic candidate)","","","All Must Choose","Ramin Djawadi","2885505722"
"(thematic candidate)","","","Main Title (From ""Chocolat"" Soundtrack)","Rachel Portman","70603366"
"(thematic candidate)","","","The Middle of the World","Nicholas Britell","134494866"
"(thematic candidate)","","","The Caverns of Isengard","Howard Shore","483262982"
"(thematic candidate)","","","The Ride of the Rohirrim","Howard Shore","678598"
"(thematic candidate)","","","Oppenheimer","Ludwig Göransson","2364462535"
