Position,Title,Artist,Album,DeezerId,Rank,PopularityTier,ArtistCount,ArtistOverRepresented,DurationSec,HasPreview,Explicit,IsExactDup,NearDupOfPosition,Recommendation,Reason,PreviewUrl
"449","Enjoy the Silence","Depeche Mode","The Singles 86-98","68515055","963501","Top 25%","3","false","255","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/3/1/8/0/31846ff196abfab51bc630657b6524f7.mp3?hdnea=exp=1780975539~acl=/api/1/1/3/1/8/0/31846ff196abfab51bc630657b6524f7.mp3*~data=user_id=0,application_id=42~hmac=9c057a520b8e5a563cf570a11fd5777191ed9b366d585d490e7cf4acb1fc95ec"
"70","Californication","Red Hot Chili Peppers","Californication (Deluxe Edition)","725274","957783","Top 25%","4","false","329","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/2/c/7/0/2c7c12953e487de2983fc0d361992604.mp3?hdnea=exp=1780975537~acl=/api/1/1/2/c/7/0/2c7c12953e487de2983fc0d361992604.mp3*~data=user_id=0,application_id=42~hmac=6e2a45e6ced8ffde2e4ac0120a8349b7b92af8c7c9dae096a6d3c968e54fd089"
"6","...Baby One More Time","Britney Spears","...Baby One More Time (Digital Deluxe Version)","540175","956742","Top 25%","4","false","210","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/b/1/7/0/b17b241965ce5ad2fa504f46a8684da8.mp3?hdnea=exp=1780975537~acl=/api/1/1/b/1/7/0/b17b241965ce5ad2fa504f46a8684da8.mp3*~data=user_id=0,application_id=42~hmac=478d6387ac5f8ad673af051fc6ec808c3bf3144cdbc5b5b2929c2020225f4ef0"
"79","Remember the Time","Michael Jackson","Dangerous","15593563","955589","Top 25%","4","false","239","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/3/a/a/0/3aa8e58e024bd295afd0ba22a1a0c15a.mp3?hdnea=exp=1780975537~acl=/api/1/1/3/a/a/0/3aa8e58e024bd295afd0ba22a1a0c15a.mp3*~data=user_id=0,application_id=42~hmac=6f85930562a348ca5910d8542db04d89f9dc5ecba90d93051dd91cc666f16084"
"154","Iris","The Goo Goo Dolls","Dizzy up the Girl","4290138","944560","Top 25%","4","false","289","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/0/8/d/0/08df029ee8f83c255da889342a4cc863.mp3?hdnea=exp=1780975538~acl=/api/1/1/0/8/d/0/08df029ee8f83c255da889342a4cc863.mp3*~data=user_id=0,application_id=42~hmac=7e84189022d29cf54b74f6a664ff28f07a89115ef5855ca96337fb1685870485"
"62","Losing My Religion","R.E.M.","Out Of Time","136334560","942058","Top 25%","3","false","266","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/4/e/f/0/4ef0a38d9159a0f45d5f16399db90862.mp3?hdnea=exp=1780975537~acl=/api/1/1/4/e/f/0/4ef0a38d9159a0f45d5f16399db90862.mp3*~data=user_id=0,application_id=42~hmac=d13ca1b45a76d76fee679cd93938514ca56416f2f6a7564db80632416e297132"
"181","What's Up?","4 Non Blondes","Bigger, Better, Faster, More !","2184743","939032","Top 25%","1","false","295","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/b/6/0/0/b6094cd4a5bf36cd534651cdb6ad29e8.mp3?hdnea=exp=1780975538~acl=/api/1/1/b/6/0/0/b6094cd4a5bf36cd534651cdb6ad29e8.mp3*~data=user_id=0,application_id=42~hmac=1b21f5efdf4c9e12d62b7ba6fdf275eeb3f7005c90b82998d14c8c92b80f5ca4"
"253","The Kids Aren't Alright","The Offspring","Americana","137233986","931522","Top 25%","3","false","180","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/b/0/3/0/b0384634d586e98fcf6f8613fc22eeb7.mp3?hdnea=exp=1780975538~acl=/api/1/1/b/0/3/0/b0384634d586e98fcf6f8613fc22eeb7.mp3*~data=user_id=0,application_id=42~hmac=cdb813bed4da1af6af198249b554acd02f119f2f32bc8dd7146c4232fb005e4d"
"85","Fade Into You","Mazzy Star","So Tonight That I Might See","3360821","924092","Top 25%","1","false","292","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/2/8/b/0/28bba46a2f7f86069f5f287cff70cf1c.mp3?hdnea=exp=1780975537~acl=/api/1/1/2/8/b/0/28bba46a2f7f86069f5f287cff70cf1c.mp3*~data=user_id=0,application_id=42~hmac=cf9bae7300fa49902e41ec47de84cc53ee31d5a1bc62fdb5d03d6c0effdacd74"
"5","Say My Name","Destiny's Child","The Writing's On The Wall","580936","919926","Top 25%","5","false","269","true","false","false","","Auto-keep","Top 25% by popularity — defining track for the era","https://cdnt-preview.dzcdn.net/api/1/1/b/c/0/0/bc0df105bf6fd096d9c77d22f76b7ced.mp3?hdnea=exp=1780975537~acl=/api/1/1/b/c/0/0/bc0df105bf6fd096d9c77d22f76b7ced.mp3*~data=user_id=0,application_id=42~hmac=a0ec3349fff691b5de13b8dd167d17f37838784dc1ba8cef4378c1c8b94c7cd7"
