Source,Kind,Year,CanonicalTitle,TrackCount
"Legends Of The Fall","MOVIE","1994","Legends of the Fall","1"
"Les Misérables","MUSICAL","1987","Les Misérables","4"
"Less Than Zero","MOVIE","1987","Less Than Zero","1"
"Lilo & Stitch","MOVIE","2002","Lilo & Stitch","1"
"Live and Let Die","MOVIE","1973","Live and Let Die","1"
"Love Story","MOVIE","1970","Love Story","2"
"Mad Max Beyond Thunderdome","MOVIE","1985","Mad Max Beyond Thunderdome","1"
"Mamma Mia","MOVIE","2008","Mamma Mia!","6"
"Mamma Mia!","MUSICAL","2001","Mamma Mia!","2"
"Mannequin","MOVIE","1987","Mannequin","1"
"Matilda","MUSICAL","2013","Matilda","1"
"Men in Black","MOVIE","1997","Men in Black","1"
"Midnight Cowboy","MOVIE","1969","Midnight Cowboy","1"
"Midnight Express","MOVIE","1978","Midnight Express","1"
"Mission Impossible","MOVIE","1996","Mission: Impossible","1"
"Moana","MOVIE","2016","Moana","4"
"Moulin Rouge!","MOVIE","2001","Moulin Rouge!","1"
"Mulan","MOVIE","1998","Mulan","2"
"My Girl","MOVIE","1991","My Girl","1"
"Napoleon Dynamite","MOVIE","2004","Napoleon Dynamite","1"
"Naruto","TV","2002","Naruto","1"
"National Treasure","MOVIE","2004","National Treasure","1"
"No Time to Die","MOVIE","2021","No Time to Die","1"
"No Way Out","MOVIE","1987","No Way Out","1"
"Notting Hill","MOVIE","1999","Notting Hill","2"
"On Her Majesty's Secret Service","MOVIE","1969","On Her Majesty's Secret Service","2"
"Oppenheimer","MOVIE","2023","Oppenheimer","1"
"Pearl Harbor","MOVIE","2001","Pearl Harbor","1"
"Peter Pan","MOVIE","1953","Peter Pan","1"
"Philadelphia","MOVIE","1993","Philadelphia","1"
"Pirates of the Caribbean","MOVIE","2003","Pirates of the Caribbean","4"
"Pirates of the Caribbean: Dead Man's Chest","MOVIE","2006","Pirates of the Caribbean: Dead Man's Chest","1"
